id,name,lat,lon,State,Region,ObjName
8779749,SPI Brazos Santiago,26.0674,-97.1548,TX,Gulf,SPIBrazosSantiago.TX
8779770,Port Isabel,26.0612,-97.2155,TX,Gulf,PortIsabel.TX
9410170,"San Diego, San Diego Bay",32.7142,-117.1736,CA,Pacific,SanDiegoSanDiegoBay.CA
9410230,La Jolla,32.8669,-117.2571,CA,Pacific,LaJolla.CA
9410660,Los Angeles,33.7199,-118.2729,CA,Pacific,LosAngeles.CA
9410840,Santa Monica,34.0083,-118.5,CA,Pacific,SantaMonica.CA
9412110,Port San Luis,35.1688,-120.7542,CA,Pacific,PortSanLuis.CA
9413450,Monterey,36.605,-121.8881,CA,Pacific,Monterey.CA
9414290,San Francisco,37.8063,-122.4659,CA,Pacific,SanFrancisco.CA
9414523,Redwood City,37.5067,-122.21,CA,Pacific,RedwoodCity.CA
9414750,Alameda,37.7717,-122.3,CA,Pacific,Alameda.CA
9414863,Richmond,37.923,-122.4096,CA,Pacific,Richmond.CA
9415020,Point Reyes,37.9961,-122.9767,CA,Pacific,PointReyes.CA
9415102,Martinez-Amorco Pier,38.0346,-122.1252,CA,Pacific,Martinez-AmorcoPier.CA
9415144,Port Chicago,38.056,-122.0395,CA,Pacific,PortChicago.CA
9416841,Arena Cove,38.9146,-123.7111,CA,Pacific,ArenaCove.CA
9418767,North Spit,40.7663,-124.2172,CA,Pacific,NorthSpit.CA
9419750,Crescent City,41.745,-124.183,CA,Pacific,CrescentCity.CA
9431647,Port Orford,42.739,-124.4983,OR,Pacific,PortOrford.OR
9432780,Charleston,43.345,-124.322,OR,Pacific,Charleston.OR
9435380,South Beach,44.625,-124.043,OR,Pacific,SouthBeach.OR
9437540,Garibaldi,45.5545,-123.9189,OR,Pacific,Garibaldi.OR
9439040,Astoria,46.2073,-123.7683,OR,Pacific,Astoria.OR
9440422,Longview,46.1061,-122.9542,WA,Pacific,Longview.WA
9440910,Toke Point,46.7075,-123.9669,WA,Pacific,TokePoint.WA
9441102,Westport,46.9043,-124.1051,WA,Pacific,Westport.WA
9442396,"La Push, Quillayute River",47.9133,-124.6369,WA,Pacific,LaPushQuillayuteRiver.WA
9443090,Neah Bay,48.3703,-124.6019,WA,Pacific,NeahBay.WA
9444090,Port Angeles,48.125,-123.44,WA,Pacific,PortAngeles.WA
9444900,Port Townsend,48.1129,-122.7595,WA,Pacific,PortTownsend.WA
9446484,Tacoma,47.2667,-122.4133,WA,Pacific,Tacoma.WA
9449419,Cherry Point South Dock,48.86,-122.757,WA,Pacific,CherryPointSouthDock.WA
9449424,Cherry Point,48.8633,-122.758,WA,Pacific,CherryPoint.WA
9449880,Friday Harbor,48.5453,-123.0129,WA,Pacific,FridayHarbor.WA
