Date,Time,Time.Point,day,ElapsedDays,Bottle,Treatment,Depth,Rep,CO2.sys.ppm.p,CH4.sys.ppm.p,n.mol.p,CO2.air.ppm,CH4.air.ppm,CO2.sys.ppm,CH4.sys.ppm
11/7/2016,15:28,T18,33,33.02,IB 20-M2,IB 20,M,2,741.29,2.2131,0.02,479.15,1.9367,800.62,2.2617
11/10/2016,9:58,T19,36,35.79,IB 20-M2,IB 20,M,2,800.62,2.2617,0.02,485.44,1.9743,839,2.2784
12/1/2016,11:00,T20,57,56.83,IB 20-M2,IB 20,M,2,839.00,2.2784,0.02,739,1.935,2014,2.673
12/8/2016,14:40,T21,64,63.99,IB 20-M2,IB 20,M,2,2014.00,2.6730,0.02,632.81,2.0869,2352.33,2.749
12/8/2016,14:40,T21,64,63.99,IB 20-M2,IB 20,M,2,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,648.56,2.0797
12/20/2016,9:30,T22,76,75.77,IB 20-M2,IB 20,M,2,648.56,2.0797,0.02,496.59,2.0339,1345.59,2.2529
1/4/2017,14:00,T23,91,90.96,IB 20-M2,IB 20,M,2,1345.59,2.2529,0.02,558,2.438,2223,2.577
1/10/2017,10:00,T24,97,96.79,IB 20-M2,IB 20,M,2,2223.00,2.5770,0.02,552,2.039,2250,2.575
1/18/2017,11:00,T25,105,104.83,IB 20-M2,IB 20,M,2,2250.00,2.5750,0.02,519,1.9137,2368,2.561
1/25/2017,13:30,T26,112,111.94,IB 20-M2,IB 20,M,2,2368.00,2.5610,0.02,543.8,2.0387,2416.9,2.5664
2/1/2017,10:30,T27,119,118.81,IB 20-M2,IB 20,M,2,2416.90,2.5664,0.02,597.1,2.001,2492.7,2.583
2/8/2017,14:00,T28,126,125.96,IB 20-M2,IB 20,M,2,2492.70,2.5830,0.02,493.7,1.948,2045,2.537
2/15/2017,14:35,T29,133,132.98,IB 20-M2,IB 20,M,2,2045.00,2.5370,0.02,610.6,1.9689,2037.9,2.52
2/22/2017,13:30,T30,140,139.94,IB 20-M2,IB 20,M,2,2037.90,2.5200,0.02,527.5,1.908,2144.8,2.502
3/2/2017,9:40,T31,148,147.78,IB 20-M2,IB 20,M,2,2144.80,2.5020,0.02,492,1.943,2308,2.517
3/7/2017,14:17,T32,153,152.97,IB 20-M2,IB 20,M,2,2308.00,2.5170,0.02,417.7,1.919,2279.3,2.478
3/15/2017,15:00,T33,161,161,IB 20-M2,IB 20,M,2,2279.30,2.4780,0.02,471.6,1.917,2213.5,2.473
10/5/2016,15:00,T7,0,0,IB 20-M3,IB 20,M,3,"","",0.02,,,444.8,2.03
10/6/2016,15:30,T8,1,1.02,IB 20-M3,IB 20,M,3,444.80,2.0300,0.02,424.89,1.8636,461.95,2.0406
10/7/2016,11:13,T9,2,1.84,IB 20-M3,IB 20,M,3,461.95,2.0406,0.02,440.37,1.8597,479.75,2.0466
10/11/2016,15:11,T10,6,6.01,IB 20-M3,IB 20,M,3,479.75,2.0466,0.02,548.45,2.0105,623.36,2.2356
10/14/2016,15:25,T11,9,9.02,IB 20-M3,IB 20,M,3,623.36,2.2356,0.02,469.15,1.99,700.23,2.3021
10/17/2016,10:20,T12,12,11.81,IB 20-M3,IB 20,M,3,700.23,2.3021,0.02,534.61,1.9295,764.68,2.3679
