"temp","Eastport.ME","CutlerFarrisWharf.ME","BarHarbor.ME","Portland.ME","Wells.ME","Boston.MA","FallRiver.MA","ChathamLydiaCove.MA","WoodsHole.MA","NantucketIsland.MA","Newport.RI","ConimicutLight.RI","Providence.RI","QuonsetPoint.RI","NewLondon.CT","NewHaven.CT","Bridgeport.CT","Montauk.NY","KingsPoint.NY","TheBattery.NY","TurkeyPointHudsonRiverNERRS.NY","BergenPointWestReach.NY","SandyHook.NJ","AtlanticCity.NJ","CapeMay.NJ","ShipJohnShoal.NJ","BurlingtonDelawareRiver.NJ","MarcusHook.PA","Philadelphia.PA","Bridesburg.PA","Newbold.PA","DelawareCity.DE","ReedyPoint.DE","BrandywineShoalLight.DE","Lewes.DE","OceanCityInlet.MD","BishopsHead.MD","Cambridge.MD","TolchesterBeach.MD","ChesapeakeCity.MD","BaltimoreFortMcHenryPatapscoRiver.MD","Annapolis.MD","SolomonsIsland.MD","Washington.DC","Wachapreague.VA","Kiptopeke.VA","Dahlgren.VA","Lewisetta.VA","YorktownUSCGTrainingCenter.VA","SewellsPoint.VA","CBBTChesapeakeChannel.VA","MoneyPoint.VA","Duck.NC","OregonInletMarina.NC","USCGStationHatteras.NC","BeaufortDukeMarineLab.NC","Wilmington.NC","WrightsvilleBeach.NC","CharlestonCooperRiverEntrance.SC","FortPulaski.GA","FernandinaBeach.FL","Mayport(BarPilotsDock).FL","DamesPoint.FL","JacksonvilleUniversity.FL","TridentPierPortCanaveral.FL","LakeWorthPierAtlanticOcean.FL","SouthPortEverglades.FL","VirginiaKeyBiscayneBay.FL","VacaKeyFloridaBay.FL","KeyWest.FL","NaplesGulfofMexico.FL","FortMyers.FL","PortManatee.FL","St.PetersburgTampaBay.FL","OldPortTampa.FL","EastBay.FL","ClearwaterBeach.FL","CedarKey.FL","Apalachicola.FL","PanamaCity.FL","PanamaCityBeach.FL","Pensacola.FL","WeeksBayMobileBay.AL","DauphinIsland.AL","CoastGuardSectorMobile.AL","MobileStateDocks.AL","GrandBayNERRMississippiSound.MS","PascagoulaNOAALab.MS","BayWavelandYachtClub.MS","Pilottown.LA","PilotsStationEastS.W.Pass.LA","ShellBeach.LA","GrandIsle.LA","NewCanalStation.LA","Carrollton.LA","WestBank1BayouGauche.LA","BerwickAtchafalayaRiver.LA","LAWMAAmeradaPass.LA","EugeneIslandNorthofGulfofMexico.LA","FreshwaterCanalLocks.LA","LakeCharles.LA","BulkTerminal.LA","CalcasieuPass.LA","PortArthur.TX","SabinePassNorth.TX","MorgansPointBarboursCut.TX","Manchester.TX","HighIsland.TX","TexasPointSabinePass.TX","RolloverPass.TX","EaglePointGalvestonBay.TX","GalvestonBayEntranceNorthJetty.TX","GalvestonPier21.TX","GalvestonRailroadBridge.TX","SanLuisPass.TX","Freeport.TX","FreeportSPIPFreeportHarbor.TX","Sargent.TX","Seadrift.TX","MatagordaCity.TX","PortLavaca.TX","MatagordaBayEntranceChannel.TX","AransasWildlifeRefuge.TX","Rockport.TX","PortAransas.TX","AransasAransasPass.TX","NuecesBay.TX","USSLexingtonCorpusChristiBay.TX","PackeryChannel.TX","BobHallPierCorpusChristi.TX","S.BirdIsland.TX","BaffinBay.TX","RinconDelSanJose.TX","PortMansfield.TX","RealitosPeninsula.TX","SouthPadreIslandCGStation.TX","SPIBrazosSantiago.TX","PortIsabel.TX","SanDiegoSanDiegoBay.CA","LaJolla.CA","LosAngeles.CA","SantaMonica.CA","PortSanLuis.CA","Monterey.CA","SanFrancisco.CA","RedwoodCity.CA","Alameda.CA","Richmond.CA","PointReyes.CA","Martinez-AmorcoPier.CA","PortChicago.CA","ArenaCove.CA","NorthSpit.CA","CrescentCity.CA","PortOrford.OR","Charleston.OR","SouthBeach.OR","Garibaldi.OR","Astoria.OR","Longview.WA","TokePoint.WA","Westport.WA","LaPushQuillayuteRiver.WA","NeahBay.WA","PortAngeles.WA","PortTownsend.WA","Tacoma.WA","CherryPointSouthDock.WA","CherryPoint.WA","FridayHarbor.WA"
22,0,0,0,0,255,484,7345,415,7631,6615,3355,3279,2937,10245,2160,3786,5871,5218,4582,5849,3160,4100,4355,5802,5387,3844,1977,2521,3430,6151,1318,3248,6165,5939,7067,4548,3031,1989,2938,2026,3168,0,3791,2877,2225,4093,431,3555,1283,4344,3786,2173,4257,4231,5007,2400,1130,5378,2880,2122,3870,2746,3588,6281,6399,398,0,7862,4422,1125,7909,8249,6364,7880,4675,0,4241,1821,2151,4419,3479,2282,3382,6185,5676,2423,192,2557,3822,3204,4554,3818,5109,3723,3896,3646,1736,2429,4794,2526,3102,2235,1978,1976,2192,2523,3330,5007,3280,3223,2253,2453,3846,3644,4967,2733,1655,2824,3637,3549,3164,4678,3305,1267,3856,6635,3229,7057,3241,2586,5369,4141,3810,3898,4649,0,2896,5383,9927,3310,807,5224,0,0,0,5887,2914,0,0,5515,3044,0,0,0,0,0,0,0,2260,8717,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,65,74,6609,284,1775,7386,1948,5092,3851,3467,235,6585,5689,2921,4734,6833,2442,4879,3675,4797,3105,2965,2501,3663,2333,2054,2809,3465,2922,6741,4950,6093,3120,1399,2721,1220,2970,105,3445,2044,2391,3304,1447,4007,4393,1741,5106,1890,3957,2744,3918,1624,635,3831,2327,3758,1926,3254,5576,4431,6311,2284,3,6454,5432,2820,6814,5647,4966,6210,3318,0,1709,3002,2050,4712,2409,1631,3084,3213,3159,3668,103,2727,5532,2695,2695,3802,4585,4493,1757,3363,836,1576,3186,3008,1888,2013,2928,3409,3292,826,4930,3252,3833,2260,2426,4740,4367,3069,3033,3141,3155,3624,2796,2924,3162,2810,3053,1508,2512,5190,2817,4036,2557,3819,4107,3031,3129,6600,3437,0,2712,4777,5354,2292,0,1158,0,0,0,10967,129,0,0,677,411,0,0,0,0,0,0,0,62,234,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,42,2,3282,199,162,2685,1255,6414,6225,1127,118,6547,4202,626,7706,6637,2129,5069,4749,2174,5403,4420,5480,4089,11153,3990,5519,3700,4704,8874,5577,6079,3793,4654,3752,3983,4178,490,3414,3221,3205,2487,2020,5607,6817,3362,9681,5213,4575,6861,4631,3173,1725,5852,2364,4073,2687,2258,5377,5511,4649,17495,92,9816,4757,9042,8770,6610,5631,6237,3327,0,5133,4504,1883,4598,3461,2617,2578,2915,2552,1766,434,3945,5151,1785,4268,4705,4406,6401,4589,2048,2350,1799,3316,4644,2719,2894,3548,3757,6486,2683,3896,3114,5453,4008,3778,3596,2473,3875,4337,3152,4585,4265,4046,3423,3058,3141,3389,1804,3087,3212,3404,5112,4118,3235,5080,3479,3795,8075,4457,2,5412,3398,1365,2024,0,52,0,0,0,5330,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,282,0,0,51,211,2197,3621,25,8,1495,318,0,1916,826,1884,5800,4293,111,7405,6121,8005,1665,6180,2969,6052,5135,1367,1682,1927,3220,2505,4812,2814,2765,4839,647,1817,2617,2464,2340,2162,4364,5133,3076,4695,7723,6539,6479,8281,5885,6410,4631,840,4799,4589,5347,4102,4610,3099,17617,905,5450,5923,11809,4432,5358,3157,3514,4044,82,6603,3595,2325,3453,4177,3251,2691,2267,1363,2131,417,1772,2913,1250,3919,2897,4259,1385,1148,1286,626,2255,2754,3878,1073,2717,3320,1890,5487,1225,1236,1646,4777,3196,4268,2322,1568,3369,3114,1591,3675,3304,2875,2670,2966,4310,3382,1872,2655,3731,3481,2093,1992,2363,4115,2597,3348,5650,2932,14,4964,3954,16,459,0,0,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,6,0,0,0,56,1487,1936,0,0,643,0,0,154,12,7021,3871,4251,0,5023,4532,7480,3032,867,1591,3600,6362,4462,473,614,1741,3313,3511,2776,4235,4704,1162,8370,6697,4801,6228,1907,3901,4199,13826,3359,4207,3171,7444,12477,7573,6841,8671,5195,5538,3541,7802,4359,3192,5264,12956,3124,8794,7005,12171,3617,5658,3407,7809,4107,3444,3966,5320,6391,4169,4360,5964,4638,1166,2198,4212,532,2467,3767,2977,2851,2367,5134,1491,1997,1043,1309,2573,3291,3075,2848,2159,3349,3461,2047,5667,5247,2587,5472,4500,10269,4910,4709,3573,2990,2578,3887,3084,3713,4044,3459,3230,3356,1130,4252,3697,4461,3777,3119,5273,4271,7917,4647,3089,3816,43,6462,3990,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,1438,397,0,0,147,0,0,0,0,5528,707,1556,0,653,2787,127,3237,0,1721,1463,2715,7059,146,0,662,4016,1317,3794,4776,4767,1741,5790,4627,5724,8750,1351,4534,4802,5389,1900,7656,375,2914,4237,5112,4413,7328,5246,7145,3068,6899,4868,4938,5189,6588,5084,5814,4808,5459,3217,3970,4728,4400,5934,1507,3743,6721,1841,2848,7031,4225,3865,2618,3153,2576,500,2190,3495,4479,2442,3066,4925,3298,2296,3043,5439,2218,5339,1191,6514,3026,2860,2425,940,1826,4325,2644,4700,4524,8268,4491,1945,3042,3272,3950,2369,3172,2786,2819,2145,2744,2564,2209,2206,3056,2746,2953,2722,4606,3018,7640,3868,4024,4105,41,6530,5352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,1311,0,0,0,0,0,0,0,0,2585,0,403,0,93,2129,0,6473,0,4756,1059,2355,3713,11,0,212,4925,3688,5656,4532,4799,5261,2815,4632,5932,5155,1319,4142,6206,279,621,6993,0,3118,2019,7499,7511,8945,12409,7272,5041,9560,6364,6646,11576,13746,9146,10044,8677,6339,7817,6929,6805,4970,8520,3726,7290,10627,4598,6556,8451,5099,4817,7187,5076,7466,526,6574,5406,8266,5006,6098,6493,6271,8040,7050,5383,4787,6743,6796,1947,6431,7380,5133,3666,10619,5077,5262,7001,6398,4682,5195,6403,4709,4967,6298,1669,4944,4691,5014,3854,5396,4279,4356,3980,4432,6734,5366,6114,8660,5328,6967,6149,5666,10583,145,6461,10801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,125,0,289,0,24,147,0,7090,0,487,261,1046,1187,0,0,74,3306,5226,3702,2214,1725,5166,1432,2296,3025,470,1280,2589,946,0,90,2039,0,1874,776,2235,6553,2085,7975,5458,9814,5669,6395,8689,12131,12234,6630,11611,10154,7308,11417,9478,6188,5443,5316,3997,6937,6095,4789,4884,5974,6421,5801,6638,8091,8216,326,7045,5343,6495,8323,5506,4927,6169,4172,5978,10423,7474,6819,7714,1301,6018,4789,5550,6245,12781,4304,6882,5972,7521,749,8988,5236,6166,6357,7685,1018,6459,7818,5601,4174,10048,6462,3171,5466,8815,9201,6545,9016,10460,7738,3830,7043,8297,11636,231,6116,11028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,422,0,5,576,896,674,0,0,24,2712,3189,1125,2713,752,2974,709,782,2157,111,1406,2056,14,0,0,136,0,1174,6,93,3824,560,587,6661,9570,979,11360,9993,7209,4213,7013,13818,10964,11035,11479,11197,7288,7437,10613,5928,6840,6954,10745,10421,6669,10595,7875,10956,13346,9558,410,8645,6527,8632,9045,7628,9413,9850,4320,8752,9419,10770,7059,9691,10009,12018,8788,9699,8640,1464,8308,7953,6527,6190,0,8782,8495,8501,6109,11722,6589,8867,11563,9454,2977,12134,13058,4272,15781,9545,8604,11767,11601,7403,8140,3225,12310,10810,6658,199,3413,5985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,76,0,0,0,0,670,909,21,543,49,245,43,1050,835,0,622,338,2,0,0,0,0,97,0,0,188,0,0,417,442,0,3810,2517,1118,24,6709,1336,7849,7204,6672,6748,6573,6703,6724,5245,6196,3725,4917,6786,1750,3598,7499,5612,3714,2365,311,5342,5444,428,2657,5266,5887,4497,6057,5278,184,3370,1220,7123,8791,5103,5978,8746,6506,0,10006,5240,5143,2179,0,4288,6908,7000,3315,3788,5886,8252,6146,7820,848,4660,6834,6297,8023,2279,3502,7887,3992,889,5150,2275,7255,8843,1767,107,1049,1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
